filename,words
captcha_018752.jpg,4dgk9e7
captcha_032816.jpg,gyxs62i
captcha_000000.jpg,s7b4yp
captcha_014064.jpg,eycaaiv
captcha_023440.jpg,kqq772
captcha_004688.jpg,y37i9sv
captcha_028128.jpg,kva3vy5
captcha_009376.jpg,kv8cy
captcha_018753.jpg,2x26vs
captcha_014065.jpg,d47vyd
captcha_032817.jpg,kygz6q
captcha_023441.jpg,eskk9
captcha_004689.jpg,5zid9
captcha_000001.jpg,vxddezg
captcha_018754.jpg,456d69
captcha_009377.jpg,b75kd
captcha_028129.jpg,2ig88p
captcha_014066.jpg,gky472
captcha_004690.jpg,9bv73xi
captcha_023442.jpg,9e7qgz
captcha_000002.jpg,27pv5
captcha_032818.jpg,48v6ys
captcha_009378.jpg,vvdipxq
captcha_023443.jpg,a8q5ve
captcha_000003.jpg,ez9xa6
captcha_004691.jpg,k37bg8
captcha_028130.jpg,35avba
captcha_018755.jpg,3g5kqda
captcha_014067.jpg,92cid6
captcha_009379.jpg,vs5aa9
captcha_023444.jpg,ixscy
captcha_000004.jpg,keyqi6p
captcha_004692.jpg,9i6xk
captcha_032819.jpg,2kvkex
captcha_014068.jpg,bx8cigb
captcha_023445.jpg,si4kei3
captcha_028131.jpg,b55q62a
captcha_004693.jpg,e888ic2
captcha_000005.jpg,4323g
captcha_018756.jpg,gi2q58
captcha_009380.jpg,8q7gsdq
captcha_014069.jpg,v3ai4
captcha_004694.jpg,ep3eke
captcha_000006.jpg,4iydx
captcha_032820.jpg,k92bs
captcha_028132.jpg,4dcz2
captcha_023446.jpg,p9q9a
captcha_014070.jpg,ea972b3
captcha_004695.jpg,99pq332
captcha_000007.jpg,agp4gq
captcha_032821.jpg,ziayziv
captcha_009381.jpg,z4x3ac
captcha_028133.jpg,zb6is
captcha_014071.jpg,8diqkv
captcha_004696.jpg,33z6zc
captcha_018757.jpg,297va6a
captcha_023447.jpg,e822k7x
captcha_009382.jpg,7izssc
captcha_032822.jpg,g42ac
captcha_028134.jpg,bv4i6i
captcha_000008.jpg,kqkqx
captcha_023448.jpg,sb4exyp
captcha_009383.jpg,2959i
captcha_014072.jpg,566vp
captcha_004697.jpg,x6b3p
captcha_028135.jpg,v6z3cz3
captcha_023449.jpg,9zks7v
captcha_032823.jpg,sxy6ga
captcha_009384.jpg,p2gqs7v
captcha_014073.jpg,zikyc3
captcha_018758.jpg,kgy5yg6
captcha_004698.jpg,y2ve9x
captcha_000009.jpg,vpc4p2e
captcha_028136.jpg,3apsby
captcha_023450.jpg,eezaa
captcha_014074.jpg,8pzpg42
captcha_000010.jpg,ipypzd
captcha_004699.jpg,3vysp
captcha_009385.jpg,vae7778
captcha_018759.jpg,z4q4qxp
captcha_032824.jpg,z85bp7
captcha_023451.jpg,pxvdevk
captcha_014075.jpg,qqysbds
captcha_028137.jpg,6v8vcqz
captcha_000011.jpg,abbg3
captcha_009386.jpg,baxbb5i
captcha_004700.jpg,7as63gy
captcha_014076.jpg,4i9bd7
